source_file,section,instance,family,family_group,P,radiusCoeff,alpha,beta,feasible,metric,value
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.3,0.2,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.3,0.2,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.3,0.2,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,1.0,1.0,1.0,True,computation_time,2.05
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,1.0,1.0,1.0,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,1.0,1.0,1.0,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,1.0,1.0,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,1.0,1.0,1.0,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,2.0,1.0,0.4,True,computation_time,7.58
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,2.0,1.0,0.4,True,n_coarsened,7.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,2.0,1.0,0.4,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,2.0,1.0,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,2.0,1.0,0.4,True,total_distance,254.30015497934522
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.8,True,computation_time,2.05
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.8,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.8,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.9,1.0,True,computation_time,3.24
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.9,1.0,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.9,1.0,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.9,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.9,1.0,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,3.0,0.7,0.2,True,computation_time,1.99
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,3.0,0.7,0.2,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,3.0,0.7,0.2,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,3.0,0.7,0.2,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,3.0,0.7,0.2,True,total_distance,227.80852719372498
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.7,0.4,True,computation_time,4.66
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.7,0.4,True,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.7,0.4,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.7,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.7,0.4,True,total_distance,285.1293404830765
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,1.0,True,computation_time,3.24
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,1.0,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,1.0,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,1.0,True,total_distance,185.90787650875717
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.6,True,computation_time,2.05
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.6,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.6,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.6,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,1.0,0.6,True,total_distance,191.23298176125223
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.3,0.4,True,computation_time,4.65
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.3,0.4,True,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.3,0.4,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.3,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.3,0.4,True,total_distance,244.28970944805602
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.3,0.8,True,computation_time,3.33
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.3,0.8,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.3,0.8,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.3,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.3,0.8,True,total_distance,286.47952828452674
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,5.0,0.5,0.2,True,computation_time,4.67
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,5.0,0.5,0.2,True,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,5.0,0.5,0.2,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,5.0,0.5,0.2,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,5.0,0.5,0.2,True,total_distance,260.24391550348616
