source_file,instance,family,family_group,scale,method,solver,configuration,metric,value
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.7186587500036694
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,213.84837309398142
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2774.0847845528842
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1210.2364114589027
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.6796157500357367
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,243.43922854948568
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2256.4934146031355
